
 alpha             beta            gamma           k       noise           iteration                       D1_rel          D2_rel         Boudnary_1       Boundary_2 
 1.0e-06 	 & 1.0e-06 	 & 0.0e+00 	 & 10 	 & 0.000 	 & 34                       	 & -0.042 	 & +0.021 	 & +0.023 	 & +0.025 \\ 
 1.0e-06 	 & 1.0e-04 	 & 0.0e+00 	 & 5 	 & 0.000 	 & 76                       	 & -0.050 	 & +0.054 	 & +0.099 	 & +0.109 \\ 
 1.0e-06 	 & 1.0e-04 	 & 0.0e+00 	 & 5 	 & 0.000 	 & 76                       	 & -0.050 	 & +0.054 	 & +0.099 	 & +0.109 \\ 
 1.0e-06 	 & 1.0e-04 	 & 0.0e+00 	 & 5 	 & 0.300 	 & 81                       	 & -0.038 	 & +0.061 	 & +0.103 	 & +0.113 \\ 
 1.0e-06 	 & 1.0e-04 	 & 0.0e+00 	 & 5 	 & 0.975 	 & 184                       	 & +0.128 	 & -0.019 	 & +0.139 	 & +0.143 \\ 
 1.0e-06 	 & 1.0e-04 	 & 0.0e+00 	 & 10 	 & 0.000 	 & 33                       	 & -0.042 	 & +0.022 	 & +0.023 	 & +0.025 \\ 
 1.0e-06 	 & 1.0e-04 	 & 0.0e+00 	 & 10 	 & 0.300 	 & 160                       	 & -0.025 	 & +0.013 	 & +0.043 	 & +0.033 \\ 
 1.0e-06 	 & 1.0e-04 	 & 0.0e+00 	 & 10 	 & 0.975 	 & 215                       	 & +0.213 	 & -0.077 	 & +0.251 	 & +0.118 \\ 
 1.0e-06 	 & 1.0e-04 	 & 0.0e+00 	 & 20 	 & 0.000 	 & 85                       	 & -0.121 	 & +0.003 	 & +0.007 	 & +0.011 \\ 
 1.0e-06 	 & 1.0e-04 	 & 0.0e+00 	 & 20 	 & 0.300 	 & 735                       	 & +0.080 	 & -0.136 	 & +0.556 	 & +0.382 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e-02 	 & 5 	 & 0.000 	 & 61                       	 & -0.049 	 & +0.055 	 & +0.099 	 & +0.109 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e-02 	 & 5 	 & 0.300 	 & 130                       	 & -0.034 	 & +0.048 	 & +0.102 	 & +0.113 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e-02 	 & 5 	 & 0.975 	 & 108                       	 & +0.114 	 & -0.013 	 & +0.138 	 & +0.143 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e-02 	 & 10 	 & 0.000 	 & 57                       	 & -0.042 	 & +0.022 	 & +0.023 	 & +0.025 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e-02 	 & 10 	 & 0.300 	 & 84                       	 & -0.027 	 & +0.020 	 & +0.031 	 & +0.031 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e-02 	 & 10 	 & 0.975 	 & 134                       	 & +0.227 	 & -0.089 	 & +0.141 	 & +0.099 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e-02 	 & 20 	 & 0.000 	 & 66                       	 & -0.122 	 & +0.005 	 & +0.007 	 & +0.011 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e-02 	 & 20 	 & 0.300 	 & 393                       	 & +0.122 	 & -0.114 	 & +0.142 	 & +0.183 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e-02 	 & 20 	 & 0.975 	 & 765                       	 & +0.527 	 & -0.393 	 & +0.739 	 & +1.208 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e+00 	 & 5 	 & 0.000 	 & 455                       	 & -0.048 	 & +0.055 	 & +0.099 	 & +0.109 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e+00 	 & 5 	 & 0.300 	 & 507                       	 & -0.034 	 & +0.047 	 & +0.100 	 & +0.111 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e+00 	 & 5 	 & 0.975 	 & 665                       	 & +0.103 	 & -0.024 	 & +0.118 	 & +0.136 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e+00 	 & 10 	 & 0.000 	 & 147                       	 & -0.040 	 & +0.022 	 & +0.023 	 & +0.025 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e+00 	 & 10 	 & 0.300 	 & 254                       	 & -0.028 	 & +0.013 	 & +0.026 	 & +0.031 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e+00 	 & 10 	 & 0.975 	 & 699                       	 & +0.197 	 & -0.086 	 & +0.059 	 & +0.115 \\ 
 1.0e-06 	 & 1.0e-04 	 & 1.0e+00 	 & 20 	 & 0.000 	 & 240                       	 & -0.105 	 & -0.003 	 & +0.006 	 & +0.010 \\ 
